Line,Dough Ref,Dough Description,Unit Ref,Unit Description,FG Oracle Ref,FG Legacy Ref,FG Description,Units per Container,Containers per Rack
Bread Line 03,PH300338,SL Honey Wheat 20oz,PH302174,Sl Honey Wheat,76004,2823,CL HONEY WHEAT RT BRD orig 20oz SL,10,17
Bread Line 03,PH300338,SL Honey Wheat 20oz,PH302174,Sl Honey Wheat,76816,3449,VP CL HONEY WHEAT BRD 40oz/2p SL,5,17
Bread Line 03,PH300290,DOUGH PL HNY WHT W CAL PRO,PH300365,UNIT GV HNYWHEAT BRD 20Z,73358,6456,GV HONEY WHEAT ROUND TOP BREAD 20Z,10,17
Bread Line 03,PH300290,DOUGH PL HNY WHT W CAL PRO,PH300365,UNIT GV HNYWHEAT BRD 20Z,77836,6922,MP HONEY WHEAT ROUND TOP BREAD 20Z,10,16
Bread Line 03,PH202697,DOUGH FFL WHOLE GRN WHITE BREAD,PH302453,UNIT 51 WGW SANDWICH,72392,3239,FS MWGW ROUND TOP BREAD 24Z,10,17
Bread Line 03,PH201247,FFL Italian 22oz,PH201087,ITALIAN ABO,77632,5167,ITALIAN VP 2P40Z BB,4,17
Bread Line 03,PH201247,FFL Italian 22oz,PH201087,ITALIAN ABO,77630,5166,ITALIAN BREAD 20Z BB,10,17
Bread Line 03,PH202832,DOUGH ARTESANO WHITE BRD CL LOWER SUGAR + MIX,PH202063,SL Artesano White,76728,930,VP ARTESANO BRD 2P40OZ SL,4,17
Bread Line 03,PH202832,DOUGH ARTESANO WHITE BRD CL LOWER SUGAR + MIX,PH202063,SL Artesano White,76937,929,ARTESANO BRD 20Z SL,10,17
Bread Line 03,PH202708,DOUGH ARTESANO HAWAIIAN BREAD CL W MIX,PH260026,UNIT HAWAIIAN SLICED BREAD,950289,14760,SL ARTESANO HAWAIIAN BAKERY BREAD 20Z,10,17
Bread Line 03,PH202708,DOUGH ARTESANO HAWAIIAN BREAD CL W MIX,PH260026,UNIT HAWAIIAN SLICED BREAD,950350,14868,SL ARTESANO HAWAIIN BKY BRD 20Z 2P 40Z,4,17
Bread Line 03,PH202839,DOUGH ARTESANO GOLDN WHT BRD CL FLOUR REBALANCE,PH202477,Artes Wheat,74528,2854,ARTESANO GOLDEN WHEAT 20Z SL,10,17
Bun Line 04,PH300819B,BIMBO/ SL HAMS,PH302224B,BIMBO/ SL HAMS,71467,2016,BIMBO HAMS,9,21
Bun Line 04,PH300819B,BIMBO/ SL HAMS,PH302224B,BIMBO/ SL HAMS,76928,5454,SL 16 CT HAMS 30 OZ,3,21
Bun Line 04,PH201132,PL 11oz Cluster Hambs,PH200973,11oz Hams,74948,4235,GRM HAMBURGER BUNS 11oz/8p PL,12,21
Bun Line 04,PH201132,PL 11oz Cluster Hambs,PH200973,11oz Hams,75481,7580,HAMBURGER BUNS PLAIN 11oz/8p PL CLOVER VALLEY,12,21
Bun Line 04,PH201132,PL 11oz Cluster Hambs,PH200973,11oz Hams,78943,1774,MP PLAIN HAM BUN 8P11Z PL,12,21
Bun Line 04,PH201132,PL 11oz Cluster Hambs,PH200973,11oz Hams,71314,552,WESLEY FARMS HAM BUN 22oz/16p PL,6,21
Bun Line 04,PH201132,PL 11oz Cluster Hambs,PH200973,11oz Hams,76560,5363,OH WHITE HAMBURGER BUNS 8P 11Z,12,21
Bun Line 04,PH201132,PL 11oz Cluster Hambs,PH200973,11oz Hams,72562,7467,GV HAM BUN 11oz/8p PL,12,21
Bun Line 04,PH300819A,BIMBO/ SL HOTS,PH302223A,BIMBO/ SL HOTS,71468,2017,BIMBO HOTS,12,21
Bun Line 04,PH300819A,BIMBO/ SL HOTS,PH302223A,BIMBO/ SL HOTS,76925,5455,SL 16 CT HD 28 OZ,5,21
Bun Line 04,PH201132A,PL 11oz Cluster Hots,PH200971,11oz Hots,75482,7583,HOT DOG BUNS PLAIN 11oz/8p PL CLOVER VALLEY,12,21
Bun Line 04,PH201132A,PL 11oz Cluster Hots,PH200971,11oz Hots,74949,4245,GRM HOT DOG BUNS 11oz/8p PL,12,21
Bun Line 04,PH201132A,PL 11oz Cluster Hots,PH200971,11oz Hots,78944,1773,MP PLAIN HOT DOG BUN 8P11Z PL,12,21
Bun Line 04,PH201132A,PL 11oz Cluster Hots,PH200971,11oz Hots,71313,550,WESLEY FARMS HOTDOG BUN 22oz/16p PL,5,21
Bun Line 04,PH201132A,PL 11oz Cluster Hots,PH200971,11oz Hots,76562,4257,OH WHITE HOT DOG BUNS 8P 11Z,12,21
Bun Line 04,PH201132A,PL 11oz Cluster Hots,PH200971,11oz Hots,72561,7466,GV HOTDOG BUNS 11oz/8p PL,12,21
Bun Line 04,PH202825B,BALL PARK HAMS,PH302224,BALL PARK HAM 15 OZ,76105,2768,4.25 HAMB BUNS 15oz/8p BP,9,21
Bun Line 04,PH202825B,BALL PARK HAMS,PH302224,BALL PARK HAM 15 OZ,950095,14461,BP WHITE HAMBURGER BUNS 16P 30Z,3,21
English Muffin Line 01,PH203007,DOUGH THOMAS BUTTERMILK ENGLISH MUFFIN,PH260004A,UNIT TH BUTTERMILK EM,927713,13646,TH BUTTRMILK EM LE TRAY 6P 13Z,26,17
English Muffin Line 01,PH200037,Em Original,PH200038,EM Original,6189,7002,REG WHITE ENG MUFF 12oz/6p THO,26,17
English Muffin Line 01,PH200043,EM Thomas Lite Multi Grain,PH200044,EM Thomas Lite Multi Grain,2212,7059,LITE MULTIGRAIN ENG MUFF 12oz/6p THO,26,17
English Muffin Line 02,PH200047,EM Thomas Cinnamon Raisin,PH200048,Em Thomas Cinnamon Raisin,6186,7005,CINNAMON RAISIN ENG MUFF 13oz/6p THO,26,17
English Muffin Line 02,PH200037,Em Original,PH200834,Em Thomas 18 Pack,74773,7053,ORIGINAL 18 PK,5,17
English Muffin Line 02,PH200037,Em Original,PH201874A,TEM Original 12 PK,6191,7010,WHITE ENG MUFF 24oz/12p THO,10,17
English Muffin Line 02,PH200043,EM Thomas Lite Multi Grain,PH200044A,Alt A EM Thomas Lite Multi Grain,5746,7024,CLUB MULTIGRN LITE ENG MUFF 24oz/12p THO,10,17
English Muffin Line 02,PH200045,EM Thomas 100% Whole Wheat,PH200046,EM Thomas 100% Whole Wheat,1776,7057,HEARTY GRAIN 100WW ENG MUFF 12oz/6p THO,26,17
English Muffin Line 02,PH202276,EM Thomas Blueberry,PH202155,EM Thomas Blueberry 6P/13 oz,73176,1095,BLUEBERRY ENG MUFF 6P13Z THO,26,17
English Muffin Line 02,PH200039,DOUGH EM TH SOUR,PH260033,UNIT THOMAS SOURDOUGH EM,6187,6017,TH SOURDOUGH EM TRAY 6P 12Z,26,17
English Muffin Line 02,PH200117,EM Thomas Cranberry,PH202004,UNIT EM TH CRANBERRY,74748,2320,TH CRANBERRY EM TRAY 6P 13Z,26,17
Bread Line 03,PH201583C,PL 20oz White RT,PH400035,PL 20oz White RT,927782,13994,OH PL 20oz White RT,10,17
Bread Line 03,PH202834,DOUGH ARTESANO MULTIGRAIN CL LOWER SUGAR + MIX,PH300747,ARTESANO MULTIGRAIN,915673,12789,SL ART SMOOTH MULTIGRAIN BRD 20Z,10,17
